Comment;Sentiment
Why the otp is dalay?I cannot used the otp??;Neutral
This account system is very good and help full for coustmer;Positive
Nice apps;Positive
Useful 🥰;Positive
Do I really have to wait 72hrs for the money to be approved on the account It's so annoying and slow;Negative
Not alert sms come more time;Negative
Too good stc;Positive
Hello STC Pay why it takes too long to get your OTP I have been trying to send money for the last 12 Hours and Im not getting the OTP and it takes long and by the time I get OTP it is expired WHY  Why Again this Issue;Negative
Excellent;Positive
Ok;Positive
لا يدعم الدفع بالهاتف ولا بالساعة الذكية;Neutral
Not working this apps;Neutral
Nice 👍;Positive
Good;Positive
Good app;Positive
Recommended adding a pay by nfc - This will help android user pay by phone;Negative
Good experience for me..💜;Positive
I have transferred money to my wallet and the balance remains 0 contacted the customer support and nothing happened;Positive
Best app;Positive
nice;Positive
It's working well now;Positive
Good;Positive
"إلى الآن ما يشتغل التطبيق يقولي انت موقوف اتصل بخدمة العملاء ليش ما تحدثون البرنامج ماقدر اشغل البرنامج";Neutral
Very good app;Positive
Very good app;Positive
Good;Positive
Good service 👍;Positive
ITS DELAYS TO REFLECT THE MONEY ONCE YOU TRANSFER FROM BANK ACCOUNT TO STCPAY.. KINDLY SOLVE THIS ISSUE AND MINIMIZE THE DELAY TO 5MIN..THANKS;Positive
Wow;Positive
The refunds from cancelled orders took a long time to be reversed. I ordered from iherb and I cancelled by mistake at the same moment in which the money should be reversed at the same moment. But unfortunately stcpay wanted me to wait 5-7 days. However I offered them to give the reference number for the refund operation. I also received a picture about the refund as proof but still they wanted me to wait 5 to 7 day and my money still pending.;Negative
Awesome;Positive
Very good appsno Hussle;Positive
Bad vary bad;Negative
The overall service is good but some time added features do not work properly.;Positive
To bad application;Negative
Wow;Positive
1 year;Neutral
Good app;Positive
Nice;Positive
Nice In;Positive
its not login with my number its says with id number didn't match;Positive
Dont try this..! You cant use your money outside the country.. This is scamming company..!!;Neutral
Horrible app first ever transaction I do here on the app they take away 416 sar and the service is never activated. After opening the ticket and tons of back forth messages they keep asking about proof feom the merchant side that the merchant themselves dont have. Totally horrible piece of cr@p app;Negative
"كنت أعتمد عليه في كثير من تعاملاتي، الان الدخول لوحده يجيب المرض، غير الباسوورد، الخدمة معلقة، وثق الحساب، لازم الرقم مسجل باسم الشخص اللي تحول له، أعوذ بالله";Neutral
Bad service and the company more bad because I had a problem from 3 month and every time I call them only say we will solve the problem 👎👎👎;Negative
Please everyone. try stc pay it will make your life easy very easy Thank you stc pay for all services;Positive
It's amazing;Positive
Best app;Positive
it's good and easy to used;Positive
hj;Neutral
Mohd Irshad;Neutral
I love this app;Positive
Nice;Positive
good apps;Positive
I didn't get OTP in two minutes. OTP is coming after 5 6 mins if i enter the OTP is expired. OTP is coming after 5 6 mins it's not valid;Neutral
Vip;Positive
I'm very satisfy with this app;Positive
I don't understand why I cannot transfer fund from my bank account to this account. Before I can easily did it. But now always mentioned my subscription number is not valid!;Positive
تجربة اكثر من سيئة;Neutral
Thank you Stc Pay Good Job.;Positive
good nice best easy use;Positive
مايزبط عندي ماحبيت;Neutral
Very good;Positive
Stc pay to local transfer are holding.... it's too late;Negative
Nice;Positive
Very helpful application;Positive
Not open my account;Neutral
Good;Positive
Very bad why stop now not opne vpn network pls alow I need vpn server;Negative
You need to set your network is not working perfectly;Negative
VVV good;Positive
GOP;Neutral
Excellent;Positive
Stcpay number 1 in the kingdom;Positive
Great;Positive
Very bad everytime update update daily very bad;Negative
Please add Dark Mode to stcpay app. كرما أضيفوا الوضع الداكن لسلامة العينين;Positive
It's not working.;Neutral
Now i can't transfer money from al rajhi bank ATM to stc pay app. Please give assistance😔😔😔😔;Positive
Thanks stc;Positive
I am using ST pay to recharge my mobileslocal bank transaations onllneas etc;Negative
good;Positive
Good;Positive
Very good quality;Positive
nice;Positive
Very good;Positive
Very nice 👍;Positive
Great;Positive
Good apps;Positive
Otp it not receiving soon... I suffer many times for receiving otp... Even i cant register now... When the timed out otp receiving... Irritating;Neutral
Technical team should to fix the onHold I'd upload option it's not working .it's a problem for ushow proceed it. Really disappointed 😞;Negative
this good application;Positive
Very good service;Positive
Very good;Positive
Not available in Egypt😡;Neutral
Good;Positive
Super;Positive
Good working;Positive
Malik Muzamil Nawaz sinawan;Neutral
SCAM APP!!! I deposited money bc i need to send money urgent. but no Money added to my account. filed a complaint but no response!! USELESS APP! I need the money urgent!!!;Negative
Nice app iam using more than 3 years;Positive
Nice app iam using more than 3 years;Positive
